built_type,year_built,flour,area,condition,bathrooms,balcony,exchange,furniture,security,ceil,parking,residance,phone,floor,door,balcony_glass,ex_dormetory,inernet,id,userType,rooms,lat,lon,district,street,house_num,price
монолитный,2016,4 из 9,99,хорошее,2 с/у и более,несколько балконов или лоджий,,частично,"домофон, видеонаблюдение",2.7 м,,,отдельный,линолеум,металлическая,да,нет,оптика,674641098,owner,3,51.134068,71.367502,Esilyskiy_r-n,Ilyyasa_Omarova,,40000000
кирпичный,2012,4 из 6,45.8,хорошее,совмещенный,балкон,,частично,"домофон, видеонаблюдение",2.5 м,,,нет,линолеум,металлическая,да,нет,оптика,676011227,owner,1,51.123006,71.50366,Almaty_r-n,Temirbeka_Zhurgenova,27,19000000
кирпичный,2021,2 из 10,90,,,,,,"охрана, видеонаблюдение",3 м,паркинг,Alpamys,,,,,нет,,681148481,specialist,3,51.101004509663,71.40182605911,Esilyskiy_r-n,Uly_Dala,,53999999
кирпичный,2021,2 из 8,62,среднее,,,Не интересует,,,2.7 м,паркинг,The House,,,,,нет,,681724680,owner,2,51.17202992831,71.394116643901,Saryarka_r-n,Zhambyl,10,31000000
,2005,7 из 12,36.2,хорошее,совмещенный,балкон,Не интересует,,"домофон, сигнализация, видеонаблюдение",,,,,ламинат,металлическая,да,нет,,681619392,owner,1,51.153648,71.500749,Almaty_r-n,Musrepova,7,17500000
монолитный,2020,15 из 22,86.7,,2 с/у и более,лоджия,,полностью,"охрана, домофон, кодовый замок, видеонаблюдение, видеодомофон",2.8 м,,Highvill Park 2,есть возможность подключения,ламинат,бронированная,,нет,,58174444,owner,3,51.102779,71.4043,Esilyskiy_r-n,Buhar_zhyrau,20B,75000000
кирпичный,2012,7 из 10,70,хорошее,раздельный,балкон,,полностью,"домофон, видеонаблюдение",2.8 м,,,отдельный,ламинат,металлическая,да,нет,ADSL,681030130,company,3,51.169074,71.388316,Saryarka_r-n,Kosshygululy,11,25950000
,2022,1 из 9,95,черновая отделка,,,Не интересует,,,,,Jetisu.Aqsu,,,,,нет,,681314583,specialist,3,51.083779724295,71.469292397391,Esilyskiy_r-n,Uly_dala,46,45000000
монолитный,2022,,75,,совмещенный,,,,,3 м,,Sat City,,,,,,,665712216,complex,3,51.131985766158,71.375907137408,Esilyskiy_r-n,ul__E-10_(rayon_TRTs_Han-Shatyr),,36000000
монолитный,2010,16 из 20,113.4,хорошее,2 с/у и более,балкон,,частично,,2.7 м,паркинг,Шапагат нуры,,ламинат,,да,нет,,680189193,specialist,3,51.165939,71.434993,r-n_Baykonur,Kenesary,42,47000000
